"기준코인","대상코인","상관계수","순서"
"1INCH","1INCH",1,1
"1INCH","IOST",0.896,2
"1INCH","XEM",0.887,3
"1INCH","ETH",0.876,4
"1INCH","ORBS",0.866,5
"1INCH","SXP",0.866,6
"1INCH","HIVE",0.865,7
"1INCH","ONT",0.859,8
"1INCH","AAVE",0.857,9
"1INCH","MLK",0.849,10
"1INCH","ALGO",0.843,11
"1INCH","STRIKE",0.838,12
"1INCH","ONG",0.837,13
"1INCH","KNC",0.832,14
"1INCH","KAVA",0.827,15
"1INCH","ZIL",0.825,16
"1INCH","IOTA",0.823,17
"1INCH","HPO",0.818,18
"1INCH","EOS",0.816,19
"1INCH","CBK",0.815,20
"1INCH","QTUM",0.813,21
"1INCH","BAT",0.804,22
"1INCH","ARK",0.802,23
"1INCH","TON",0.802,24
"1INCH","AXS",0.801,25
"1INCH","DOT",0.799,26
"1INCH","FCT2",0.799,27
"1INCH","XTZ",0.792,28
"1INCH","STEEM",0.791,29
"1INCH","FLOW",0.79,30
"1INCH","STPT",0.786,31
"1INCH","SBD",0.782,32
"1INCH","BORA",0.779,33
"1INCH","DKA",0.779,34
"1INCH","ICX",0.779,35
"1INCH","SAND",0.779,36
"1INCH","XLM",0.77,37
"1INCH","MOC",0.767,38
"1INCH","JST",0.765,39
"1INCH","STMX",0.763,40
"1INCH","ATOM",0.756,41
"1INCH","THETA",0.755,42
"1INCH","POWR",0.753,43
"1INCH","MED",0.749,44
"1INCH","GAS",0.745,45
"1INCH","MANA",0.745,46
"1INCH","ETC",0.743,47
"1INCH","SNT",0.743,48
"1INCH","CRO",0.74,49
"1INCH","TT",0.735,50
"1INCH","MBL",0.733,51
"1INCH","SHIB",0.733,52
"1INCH","BTC",0.72,53
"1INCH","LOOM",0.715,54
"1INCH","AQT",0.714,55
"1INCH","CELO",0.713,56
"1INCH","AHT",0.71,57
"1INCH","GLM",0.704,58
"1INCH","BTT",0.702,59
"1INCH","META",0.692,60
"1INCH","BTG",0.691,61
"1INCH","QKC",0.688,62
"1INCH","WAVES",0.659,63
"1INCH","HBAR",0.654,64
"1INCH","NEO",0.65,65
"1INCH","XRP",0.642,66
"1INCH","AERGO",0.637,67
"1INCH","ARDR",0.637,68
"1INCH","STORJ",0.634,69
"1INCH","GMT",0.62,70
"1INCH","GRT",0.62,71
"1INCH","MATIC",0.606,72
"1INCH","MTL",0.603,73
"1INCH","NEAR",0.596,74
"1INCH","SC",0.594,75
"1INCH","CRE",0.589,76
"1INCH","ADA",0.582,77
"1INCH","GRS",0.572,78
"1INCH","HUNT",0.568,79
"1INCH","STRAX",0.568,80
"1INCH","BSV",0.56,81
"1INCH","CHZ",0.548,82
"1INCH","IQ",0.546,83
"1INCH","UPP",0.542,84
"1INCH","ELF",0.526,85
"1INCH","ANKR",0.516,86
"1INCH","LSK",0.509,87
"1INCH","DOGE",0.498,88
"1INCH","MINA",0.498,89
"1INCH","XEC",0.496,90
"1INCH","EGLD",0.487,91
"1INCH","LINK",0.483,92
"1INCH","TFUEL",0.482,93
"1INCH","ZRX",0.473,94
"1INCH","WAXP",0.465,95
"1INCH","PUNDIX",0.459,96
"1INCH","CTC",0.448,97
"1INCH","ID",0.446,98
"1INCH","ARB",0.363,99
"1INCH","HIFI",0.363,100
"1INCH","MVL",0.353,101
"1INCH","MASK",0.351,102
"1INCH","SEI",0.348,103
"1INCH","AVAX",0.342,104
"1INCH","ASTR",0.337,105
"1INCH","IMX",0.333,106
"1INCH","SOL",0.245,107
"1INCH","PYTH",0.225,108
"1INCH","APT",0.196,109
"1INCH","CVC",0.194,110
"1INCH","VET",0.193,111
"1INCH","T",0.189,112
"1INCH","STX",-0.149,113
"1INCH","BCH",0.118,114
"1INCH","BLUR",0.058,115
"1INCH","SUI",-0.048,116
"1INCH","TRX",-0.029,117
"1INCH","POLYX",0.012,118
"AAVE","AAVE",1,1
"AAVE","ONT",0.874,2
"AAVE","FLOW",0.873,3
"AAVE","XEM",0.867,4
"AAVE","1INCH",0.857,5
"AAVE","ALGO",0.855,6
"AAVE","ARK",0.847,7
"AAVE","KAVA",0.838,8
"AAVE","THETA",0.835,9
"AAVE","KNC",0.832,10
"AAVE","ETH",0.82,11
"AAVE","ZIL",0.82,12
"AAVE","STMX",0.795,13
"AAVE","IOST",0.789,14
"AAVE","LOOM",0.788,15
"AAVE","MED",0.785,16
"AAVE","STPT",0.783,17
"AAVE","TON",0.777,18
"AAVE","HIVE",0.776,19
"AAVE","POWR",0.774,20
"AAVE","STEEM",0.774,21
"AAVE","FCT2",0.77,22
"AAVE","MLK",0.769,23
"AAVE","BTC",0.768,24
"AAVE","HPO",0.76,25
"AAVE","BORA",0.75,26
"AAVE","AXS",0.749,27
"AAVE","BTG",0.747,28
"AAVE","ORBS",0.747,29
"AAVE","EOS",0.746,30
"AAVE","MOC",0.746,31
"AAVE","GRT",0.744,32
"AAVE","WAVES",0.744,33
"AAVE","IOTA",0.743,34
"AAVE","SXP",0.742,35
"AAVE","TT",0.739,36
"AAVE","DOT",0.736,37
"AAVE","NEAR",0.735,38
"AAVE","CBK",0.729,39
"AAVE","STRIKE",0.716,40
"AAVE","ONG",0.713,41
"AAVE","BAT",0.708,42
"AAVE","QKC",0.701,43
"AAVE","SAND",0.698,44
"AAVE","XRP",0.694,45
"AAVE","XTZ",0.692,46
"AAVE","IQ",0.69,47
"AAVE","CELO",0.687,48
"AAVE","MANA",0.674,49
"AAVE","MBL",0.673,50
"AAVE","CRO",0.663,51
"AAVE","ATOM",0.661,52
"AAVE","ICX",0.657,53
"AAVE","AQT",0.656,54
"AAVE","ARDR",0.653,55
"AAVE","XLM",0.651,56
"AAVE","DKA",0.64,57
"AAVE","AHT",0.63,58
"AAVE","SNT",0.629,59
"AAVE","HBAR",0.628,60
"AAVE","SHIB",0.624,61
"AAVE","ZRX",0.622,62
"AAVE","SBD",0.621,63
"AAVE","META",0.62,64
"AAVE","CTC",0.615,65
"AAVE","QTUM",0.608,66
"AAVE","GRS",0.607,67
"AAVE","ID",0.597,68
"AAVE","GAS",0.593,69
"AAVE","ETC",0.567,70
"AAVE","ANKR",0.566,71
"AAVE","SC",0.557,72
"AAVE","HIFI",0.556,73
"AAVE","HUNT",0.554,74
"AAVE","JST",0.554,75
"AAVE","UPP",0.544,76
"AAVE","MATIC",0.539,77
"AAVE","GLM",0.536,78
"AAVE","AVAX",0.522,79
"AAVE","STORJ",0.52,80
"AAVE","STRAX",0.518,81
"AAVE","BTT",0.512,82
"AAVE","GMT",0.512,83
"AAVE","AERGO",0.509,84
"AAVE","CRE",0.475,85
"AAVE","MTL",0.472,86
"AAVE","WAXP",0.464,87
"AAVE","TFUEL",0.457,88
"AAVE","MVL",0.452,89
"AAVE","EGLD",0.445,90
"AAVE","PUNDIX",0.443,91
"AAVE","NEO",0.441,92
"AAVE","XEC",0.432,93
"AAVE","PYTH",0.422,94
"AAVE","MINA",0.421,95
"AAVE","DOGE",0.416,96
"AAVE","ADA",0.409,97
"AAVE","SOL",0.409,98
"AAVE","LSK",0.405,99
"AAVE","CHZ",0.369,100
"AAVE","ELF",0.367,101
"AAVE","BSV",0.359,102
"AAVE","MASK",0.339,103
"AAVE","SEI",0.337,104
"AAVE","LINK",0.336,105
"AAVE","APT",0.32,106
"AAVE","IMX",0.264,107
"AAVE","ARB",0.244,108
"AAVE","T",0.238,109
"AAVE","TRX",-0.227,110
"AAVE","CVC",0.221,111
"AAVE","ASTR",0.18,112
"AAVE","BCH",0.12,113
"AAVE","POLYX",0.097,114
"AAVE","BLUR",-0.085,115
"AAVE","VET",-0.063,116
"AAVE","SUI",0.055,117
"AAVE","STX",-0.001,118
"ADA","ADA",1,1
"ADA","MATIC",0.918,2
"ADA","ARB",0.89,3
"ADA","DKA",0.889,4
"ADA","LINK",0.854,5
"ADA","MINA",0.849,6
"ADA","ASTR",0.848,7
"ADA","SBD",0.847,8
"ADA","STRIKE",0.842,9
"ADA","EGLD",0.834,10
"ADA","DOT",0.833,11
"ADA","ATOM",0.822,12
"ADA","GAS",0.817,13
"ADA","STRAX",0.814,14
"ADA","CBK",0.808,15
"ADA","MANA",0.804,16
"ADA","HBAR",0.783,17
"ADA","STORJ",0.773,18
"ADA","ELF",0.752,19
"ADA","IMX",0.744,20
"ADA","XTZ",0.744,21
"ADA","MLK",0.735,22
"ADA","BLUR",0.73,23
"ADA","META",0.723,24
"ADA","FCT2",0.706,25
"ADA","IOTA",0.702,26
"ADA","ETH",0.697,27
"ADA","SAND",0.696,28
"ADA","XLM",0.684,29
"ADA","CRE",0.683,30
"ADA","AHT",0.678,31
"ADA","POLYX",-0.677,32
"ADA","TRX",0.676,33
"ADA","BAT",0.671,34
"ADA","TT",0.667,35
"ADA","ORBS",0.663,36
"ADA","AQT",0.661,37
"ADA","IOST",0.64,38
"ADA","ALGO",0.632,39
"ADA","AXS",0.63,40
"ADA","SEI",0.622,41
"ADA","BTT",0.611,42
"ADA","SNT",0.611,43
"ADA","KNC",0.602,44
"ADA","QTUM",0.6,45
"ADA","XRP",0.6,46
"ADA","ETC",0.596,47
"ADA","JST",0.596,48
"ADA","STX",-0.595,49
"ADA","XEM",0.587,50
"ADA","1INCH",0.582,51
"ADA","BCH",-0.578,52
"ADA","ARK",0.568,53
"ADA","BSV",0.564,54
"ADA","VET",0.561,55
"ADA","HIVE",0.557,56
"ADA","CELO",0.556,57
"ADA","EOS",0.55,58
"ADA","SXP",0.543,59
"ADA","CHZ",0.538,60
"ADA","ONG",0.535,61
"ADA","HPO",0.515,62
"ADA","POWR",0.504,63
"ADA","MED",0.503,64
"ADA","MBL",0.502,65
"ADA","GLM",0.488,66
"ADA","LOOM",0.481,67
"ADA","T",-0.469,68
"ADA","CVC",-0.463,69
"ADA","AERGO",0.461,70
"ADA","FLOW",0.459,71
"ADA","SHIB",0.454,72
"ADA","MTL",0.44,73
"ADA","TON",0.438,74
"ADA","KAVA",0.427,75
"ADA","MOC",0.422,76
"ADA","SC",0.415,77
"ADA","AAVE",0.409,78
"ADA","STPT",0.401,79
"ADA","ONT",0.4,80
"ADA","SUI",-0.397,81
"ADA","BORA",0.383,82
"ADA","UPP",0.379,83
"ADA","CRO",0.375,84
"ADA","THETA",0.369,85
"ADA","ZIL",0.345,86
"ADA","SOL",-0.34,87
"ADA","WAVES",0.336,88
"ADA","ICX",0.327,89
"ADA","GRT",0.32,90
"ADA","STEEM",0.314,91
"ADA","QKC",0.307,92
"ADA","HIFI",-0.301,93
"ADA","NEO",0.301,94
"ADA","STMX",0.291,95
"ADA","ANKR",-0.285,96
"ADA","GMT",0.281,97
"ADA","LSK",0.276,98
"ADA","APT",-0.222,99
"ADA","CTC",-0.217,100
"ADA","ID",0.211,101
"ADA","GRS",0.202,102
"ADA","PYTH",-0.182,103
"ADA","ZRX",0.178,104
"ADA","MASK",-0.166,105
"ADA","DOGE",-0.162,106
"ADA","BTG",0.15,107
"ADA","PUNDIX",-0.15,108
"ADA","MVL",-0.143,109
"ADA","WAXP",0.132,110
"ADA","IQ",0.103,111
"ADA","XEC",-0.08,112
"ADA","ARDR",0.076,113
"ADA","BTC",0.06,114
"ADA","NEAR",-0.036,115
"ADA","AVAX",0.025,116
"ADA","HUNT",0.019,117
"ADA","TFUEL",0.005,118
"AERGO","AERGO",1,1
"AERGO","SXP",0.837,2
"AERGO","STMX",0.795,3
"AERGO","ONG",0.783,4
"AERGO","ICX",0.77,5
"AERGO","ORBS",0.77,6
"AERGO","HIVE",0.758,7
"AERGO","STPT",0.752,8
"AERGO","IOST",0.751,9
"AERGO","IOTA",0.751,10
"AERGO","WAXP",0.741,11
"AERGO","HPO",0.738,12
"AERGO","LOOM",0.733,13
"AERGO","BORA",0.721,14
"AERGO","GRS",0.719,15
"AERGO","BAT",0.718,16
"AERGO","SAND",0.718,17
"AERGO","ONT",0.711,18
"AERGO","MLK",0.71,19
"AERGO","FCT2",0.703,20
"AERGO","AQT",0.702,21
"AERGO","MBL",0.7,22
"AERGO","TON",0.699,23
"AERGO","ARK",0.69,24
"AERGO","XLM",0.678,25
"AERGO","GAS",0.677,26
"AERGO","MOC",0.677,27
"AERGO","SNT",0.677,28
"AERGO","ARDR",0.664,29
"AERGO","TT",0.658,30
"AERGO","STEEM",0.657,31
"AERGO","MED",0.656,32
"AERGO","XTZ",0.65,33
"AERGO","AXS",0.649,34
"AERGO","ALGO",0.648,35
"AERGO","XEM",0.642,36
"AERGO","KNC",0.638,37
"AERGO","1INCH",0.637,38
"AERGO","POWR",0.635,39
"AERGO","CBK",0.63,40
"AERGO","META",0.63,41
"AERGO","STRIKE",0.63,42
"AERGO","DKA",0.626,43
"AERGO","MANA",0.626,44
"AERGO","GMT",0.624,45
"AERGO","KAVA",0.621,46
"AERGO","QTUM",0.618,47
"AERGO","ZIL",0.61,48
"AERGO","QKC",0.607,49
"AERGO","CELO",0.603,50
"AERGO","FLOW",0.602,51
"AERGO","UPP",0.602,52
"AERGO","STORJ",0.595,53
"AERGO","SC",0.59,54
"AERGO","HUNT",0.573,55
"AERGO","CRE",0.567,56
"AERGO","AHT",0.563,57
"AERGO","ELF",0.563,58
"AERGO","EOS",0.557,59
"AERGO","MVL",0.555,60
"AERGO","BTT",0.548,61
"AERGO","HBAR",0.545,62
"AERGO","SHIB",0.54,63
"AERGO","WAVES",0.537,64
"AERGO","GLM",0.531,65
"AERGO","CRO",0.523,66
"AERGO","JST",0.516,67
"AERGO","STRAX",0.516,68
"AERGO","DOT",0.513,69
"AERGO","AAVE",0.509,70
"AERGO","XRP",0.508,71
"AERGO","SBD",0.503,72
"AERGO","LINK",0.501,73
"AERGO","CTC",0.497,74
"AERGO","BTC",0.493,75
"AERGO","ATOM",0.475,76
"AERGO","CVC",0.474,77
"AERGO","HIFI",0.472,78
"AERGO","ETH",0.468,79
"AERGO","BSV",0.467,80
"AERGO","ADA",0.461,81
"AERGO","DOGE",0.459,82
"AERGO","ETC",0.447,83
"AERGO","THETA",0.443,84
"AERGO","CHZ",0.434,85
"AERGO","BTG",0.431,86
"AERGO","EGLD",0.425,87
"AERGO","GRT",0.423,88
"AERGO","ANKR",0.422,89
"AERGO","T",0.421,90
"AERGO","IQ",0.416,91
"AERGO","MATIC",0.416,92
"AERGO","NEO",0.405,93
"AERGO","MINA",0.404,94
"AERGO","XEC",0.385,95
"AERGO","NEAR",0.361,96
"AERGO","APT",0.342,97
"AERGO","MASK",0.332,98
"AERGO","ZRX",0.31,99
"AERGO","IMX",0.308,100
"AERGO","LSK",0.303,101
"AERGO","TFUEL",0.29,102
"AERGO","MTL",0.283,103
"AERGO","AVAX",0.28,104
"AERGO","VET",0.26,105
"AERGO","ASTR",0.239,106
"AERGO","POLYX",0.233,107
"AERGO","ID",0.232,108
"AERGO","SEI",0.226,109
"AERGO","ARB",0.225,110
"AERGO","PUNDIX",0.208,111
"AERGO","SUI",0.185,112
"AERGO","SOL",0.168,113
"AERGO","PYTH",0.15,114
"AERGO","BCH",0.125,115
"AERGO","BLUR",0.107,116
"AERGO","STX",0.107,117
"AERGO","TRX",-0.102,118
"AHT","AHT",1,1
"AHT","MANA",0.92,2
"AHT","AXS",0.903,3
"AHT","SAND",0.846,4
"AHT","STRIKE",0.844,5
"AHT","TT",0.843,6
"AHT","DKA",0.833,7
"AHT","FCT2",0.824,8
"AHT","MBL",0.811,9
"AHT","MLK",0.78,10
"AHT","IOST",0.766,11
"AHT","KNC",0.766,12
"AHT","XEM",0.754,13
"AHT","AQT",0.753,14
"AHT","MATIC",0.753,15
"AHT","ARK",0.75,16
"AHT","CBK",0.749,17
"AHT","BAT",0.748,18
"AHT","STORJ",0.743,19
"AHT","ETH",0.736,20
"AHT","ORBS",0.733,21
"AHT","SC",0.729,22
"AHT","CRE",0.728,23
"AHT","GRT",0.727,24
"AHT","ALGO",0.723,25
"AHT","MINA",0.723,26
"AHT","MED",0.718,27
"AHT","FLOW",0.715,28
"AHT","DOT",0.713,29
"AHT","IOTA",0.713,30
"AHT","1INCH",0.71,31
"AHT","HIVE",0.706,32
"AHT","LINK",0.703,33
"AHT","POWR",0.703,34
"AHT","HPO",0.698,35
"AHT","XTZ",0.697,36
"AHT","GAS",0.694,37
"AHT","ATOM",0.692,38
"AHT","SBD",0.689,39
"AHT","CELO",0.688,40
"AHT","ICX",0.686,41
"AHT","ADA",0.678,42
"AHT","HBAR",0.674,43
"AHT","MOC",0.67,44
"AHT","SXP",0.67,45
"AHT","META",0.667,46
"AHT","SNT",0.663,47
"AHT","QKC",0.661,48
"AHT","STPT",0.661,49
"AHT","STMX",0.633,50
"AHT","AAVE",0.63,51
"AHT","LOOM",0.63,52
"AHT","TON",0.627,53
"AHT","EGLD",0.625,54
"AHT","ONG",0.619,55
"AHT","GMT",0.61,56
"AHT","IQ",0.605,57
"AHT","KAVA",0.605,58
"AHT","BORA",0.596,59
"AHT","XLM",0.596,60
"AHT","EOS",0.59,61
"AHT","STEEM",0.589,62
"AHT","ONT",0.585,63
"AHT","IMX",0.583,64
"AHT","JST",0.579,65
"AHT","STRAX",0.568,66
"AHT","AERGO",0.563,67
"AHT","THETA",0.557,68
"AHT","ELF",0.555,69
"AHT","CRO",0.55,70
"AHT","ASTR",0.549,71
"AHT","SEI",0.548,72
"AHT","ZIL",0.547,73
"AHT","QTUM",0.544,74
"AHT","XRP",0.539,75
"AHT","ARB",0.532,76
"AHT","CHZ",0.529,77
"AHT","ETC",0.517,78
"AHT","BTG",0.514,79
"AHT","WAXP",0.506,80
"AHT","BTT",0.501,81
"AHT","ID",0.493,82
"AHT","GLM",0.491,83
"AHT","UPP",0.488,84
"AHT","WAVES",0.476,85
"AHT","SHIB",0.457,86
"AHT","GRS",0.454,87
"AHT","BSV",0.447,88
"AHT","ZRX",0.425,89
"AHT","BTC",0.41,90
"AHT","ARDR",0.393,91
"AHT","HUNT",0.388,92
"AHT","BLUR",0.373,93
"AHT","MTL",0.34,94
"AHT","NEAR",0.34,95
"AHT","NEO",0.339,96
"AHT","VET",0.285,97
"AHT","CTC",0.272,98
"AHT","MVL",0.253,99
"AHT","STX",-0.253,100
"AHT","POLYX",-0.251,101
"AHT","BCH",-0.232,102
"AHT","LSK",0.226,103
"AHT","AVAX",0.223,104
"AHT","TFUEL",0.22,105
"AHT","TRX",0.183,106
"AHT","PUNDIX",0.156,107
"AHT","ANKR",0.155,108
"AHT","PYTH",0.151,109
"AHT","DOGE",0.136,110
"AHT","XEC",0.135,111
"AHT","MASK",0.133,112
"AHT","HIFI",0.115,113
"AHT","SUI",-0.11,114
"AHT","CVC",-0.084,115
"AHT","T",-0.032,116
"AHT","APT",0.023,117
"AHT","SOL",0.017,118
"ALGO","ALGO",1,1
"ALGO","KNC",0.955,2
"ALGO","ARK",0.924,3
"ALGO","FLOW",0.924,4
"ALGO","XEM",0.896,5
"ALGO","IOTA",0.89,6
"ALGO","HIVE",0.886,7
"ALGO","DOT",0.879,8
"ALGO","POWR",0.876,9
"ALGO","HPO",0.87,10
"ALGO","MOC",0.868,11
"ALGO","FCT2",0.867,12
"ALGO","ONT",0.862,13
"ALGO","LOOM",0.859,14
"ALGO","AAVE",0.855,15
"ALGO","MLK",0.855,16
"ALGO","AXS",0.847,17
"ALGO","IOST",0.847,18
"ALGO","STPT",0.845,19
"ALGO","1INCH",0.843,20
"ALGO","ETH",0.831,21
"ALGO","STRIKE",0.829,22
"ALGO","STMX",0.81,23
"ALGO","WAVES",0.807,24
"ALGO","CBK",0.806,25
"ALGO","CELO",0.801,26
"ALGO","SAND",0.8,27
"ALGO","TT",0.799,28
"ALGO","XTZ",0.799,29
"ALGO","ATOM",0.798,30
"ALGO","ZIL",0.795,31
"ALGO","MED",0.794,32
"ALGO","SXP",0.794,33
"ALGO","MANA",0.793,34
"ALGO","XRP",0.791,35
"ALGO","ORBS",0.787,36
"ALGO","THETA",0.784,37
"ALGO","GRT",0.783,38
"ALGO","KAVA",0.782,39
"ALGO","XLM",0.775,40
"ALGO","TON",0.773,41
"ALGO","STEEM",0.77,42
"ALGO","AQT",0.769,43
"ALGO","DKA",0.767,44
"ALGO","ONG",0.764,45
"ALGO","BAT",0.761,46
"ALGO","BORA",0.76,47
"ALGO","GAS",0.746,48
"ALGO","MATIC",0.733,49
"ALGO","MBL",0.733,50
"ALGO","QKC",0.732,51
"ALGO","ZRX",0.726,52
"ALGO","AHT",0.723,53
"ALGO","HBAR",0.721,54
"ALGO","SBD",0.72,55
"ALGO","META",0.712,56
"ALGO","EOS",0.693,57
"ALGO","ID",0.689,58
"ALGO","BTC",0.686,59
"ALGO","NEAR",0.686,60
"ALGO","SC",0.685,61
"ALGO","IQ",0.681,62
"ALGO","ICX",0.677,63
"ALGO","STRAX",0.677,64
"ALGO","SNT",0.662,65
"ALGO","QTUM",0.655,66
"ALGO","STORJ",0.65,67
"ALGO","AERGO",0.648,68
"ALGO","MINA",0.647,69
"ALGO","GRS",0.637,70
"ALGO","BTG",0.634,71
"ALGO","ADA",0.632,72
"ALGO","SEI",0.629,73
"ALGO","SHIB",0.628,74
"ALGO","EGLD",0.627,75
"ALGO","ARDR",0.622,76
"ALGO","AVAX",0.6,77
"ALGO","HUNT",0.6,78
"ALGO","CRO",0.594,79
"ALGO","GMT",0.573,80
"ALGO","UPP",0.566,81
"ALGO","LINK",0.548,82
"ALGO","CRE",0.546,83
"ALGO","JST",0.543,84
"ALGO","GLM",0.54,85
"ALGO","BTT",0.539,86
"ALGO","CTC",0.538,87
"ALGO","ETC",0.51,88
"ALGO","ELF",0.499,89
"ALGO","WAXP",0.481,90
"ALGO","PYTH",0.462,91
"ALGO","MVL",0.443,92
"ALGO","MTL",0.432,93
"ALGO","IMX",0.431,94
"ALGO","HIFI",0.423,95
"ALGO","ARB",0.407,96
"ALGO","ANKR",0.386,97
"ALGO","ASTR",0.382,98
"ALGO","SOL",0.364,99
"ALGO","APT",0.355,100
"ALGO","LSK",0.354,101
"ALGO","BSV",0.353,102
"ALGO","CHZ",0.333,103
"ALGO","DOGE",0.303,104
"ALGO","NEO",0.284,105
"ALGO","XEC",0.263,106
"ALGO","PUNDIX",0.259,107
"ALGO","MASK",0.258,108
"ALGO","TFUEL",0.219,109
"ALGO","BLUR",0.141,110
"ALGO","CVC",0.128,111
"ALGO","T",0.128,112
"ALGO","STX",-0.126,113
"ALGO","BCH",-0.114,114
"ALGO","VET",0.091,115
"ALGO","SUI",0.081,116
"ALGO","POLYX",-0.071,117
"ALGO","TRX",-0.067,118
"ANKR","ANKR",1,1
"ANKR","CVC",0.811,2
"ANKR","T",0.792,3
"ANKR","BTC",0.774,4
"ANKR","HIFI",0.763,5
"ANKR","CTC",0.758,6
"ANKR","HUNT",0.752,7
"ANKR","BCH",0.749,8
"ANKR","DOGE",0.748,9
"ANKR","ARDR",0.742,10
"ANKR","NEAR",0.727,11
"ANKR","POLYX",0.725,12
"ANKR","TRX",-0.703,13
"ANKR","STMX",0.676,14
"ANKR","BTG",0.655,15
"ANKR","MASK",0.652,16
"ANKR","XEC",0.647,17
"ANKR","SOL",0.645,18
"ANKR","BLUR",-0.624,19
"ANKR","STEEM",0.622,20
"ANKR","MVL",0.621,21
"ANKR","TFUEL",0.615,22
"ANKR","PUNDIX",0.612,23
"ANKR","ZIL",0.601,24
"ANKR","ICX",0.593,25
"ANKR","KAVA",0.586,26
"ANKR","ONT",0.581,27
"ANKR","BORA",0.575,28
"ANKR","STPT",0.571,29
"ANKR","MOC",0.568,30
"ANKR","AAVE",0.566,31
"ANKR","TON",0.557,32
"ANKR","HIVE",0.535,33
"ANKR","WAXP",0.523,34
"ANKR","SXP",0.521,35
"ANKR","1INCH",0.516,36
"ANKR","QKC",0.515,37
"ANKR","FLOW",0.487,38
"ANKR","CRO",0.485,39
"ANKR","GRS",0.483,40
"ANKR","IQ",0.482,41
"ANKR","GMT",0.481,42
"ANKR","ONG",0.48,43
"ANKR","HPO",0.477,44
"ANKR","ASTR",-0.47,45
"ANKR","APT",0.469,46
"ANKR","XEM",0.468,47
"ANKR","ARB",-0.466,48
"ANKR","WAVES",0.464,49
"ANKR","IOST",0.463,50
"ANKR","THETA",0.462,51
"ANKR","PYTH",0.438,52
"ANKR","MBL",0.426,53
"ANKR","LOOM",0.425,54
"ANKR","AERGO",0.422,55
"ANKR","ARK",0.422,56
"ANKR","POWR",0.418,57
"ANKR","ORBS",0.415,58
"ANKR","EOS",0.41,59
"ANKR","SUI",0.404,60
"ANKR","MED",0.398,61
"ANKR","ALGO",0.386,62
"ANKR","AVAX",0.383,63
"ANKR","SHIB",0.382,64
"ANKR","GRT",0.379,65
"ANKR","KNC",0.379,66
"ANKR","STX",0.363,67
"ANKR","ZRX",0.355,68
"ANKR","NEO",0.342,69
"ANKR","GLM",0.338,70
"ANKR","IMX",-0.336,71
"ANKR","UPP",0.331,72
"ANKR","BAT",0.328,73
"ANKR","CELO",0.321,74
"ANKR","VET",-0.321,75
"ANKR","SC",0.317,76
"ANKR","QTUM",0.316,77
"ANKR","SNT",0.312,78
"ANKR","FCT2",0.31,79
"ANKR","AXS",0.303,80
"ANKR","MLK",0.303,81
"ANKR","IOTA",0.293,82
"ANKR","ID",0.287,83
"ANKR","ADA",-0.285,84
"ANKR","ETH",0.268,85
"ANKR","XTZ",0.266,86
"ANKR","TT",0.264,87
"ANKR","AQT",0.261,88
"ANKR","MINA",-0.256,89
"ANKR","ETC",0.251,90
"ANKR","JST",0.24,91
"ANKR","XLM",0.233,92
"ANKR","EGLD",-0.232,93
"ANKR","SAND",0.231,94
"ANKR","LINK",-0.225,95
"ANKR","LSK",0.224,96
"ANKR","MATIC",-0.199,97
"ANKR","SEI",-0.188,98
"ANKR","BTT",0.186,99
"ANKR","CBK",0.185,100
"ANKR","MTL",0.182,101
"ANKR","STRIKE",0.17,102
"ANKR","BSV",0.159,103
"ANKR","AHT",0.155,104
"ANKR","XRP",0.147,105
"ANKR","META",0.145,106
"ANKR","STRAX",-0.145,107
"ANKR","ELF",-0.123,108
"ANKR","CHZ",0.111,109
"ANKR","DOT",0.107,110
"ANKR","GAS",0.096,111
"ANKR","MANA",0.092,112
"ANKR","CRE",0.083,113
"ANKR","DKA",0.066,114
"ANKR","ATOM",0.061,115
"ANKR","SBD",0.042,116
"ANKR","STORJ",0.04,117
"ANKR","HBAR",0.036,118
"APT","APT",1,1
"APT","SOL",0.815,2
"APT","SUI",0.771,3
"APT","MVL",0.769,4
"APT","CTC",0.753,5
"APT","AVAX",0.738,6
"APT","PYTH",0.711,7
"APT","TRX",-0.69,8
"APT","STX",0.634,9
"APT","POLYX",0.632,10
"APT","HIFI",0.628,11
"APT","ZRX",0.618,12
"APT","IQ",0.617,13
"APT","WAVES",0.615,14
"APT","CVC",0.613,15
"APT","T",0.61,16
"APT","NEAR",0.589,17
"APT","BTC",0.575,18
"APT","STMX",0.567,19
"APT","ARDR",0.538,20
"APT","ZIL",0.532,21
"APT","BLUR",-0.529,22
"APT","DOGE",0.528,23
"APT","GRS",0.522,24
"APT","HUNT",0.518,25
"APT","ONT",0.51,26
"APT","ID",0.504,27
"APT","VET",-0.504,28
"APT","WAXP",0.498,29
"APT","STPT",0.496,30
"APT","GRT",0.476,31
"APT","ANKR",0.469,32
"APT","ASTR",-0.469,33
"APT","MASK",0.465,34
"APT","HPO",0.455,35
"APT","MOC",0.455,36
"APT","STEEM",0.443,37
"APT","ARB",-0.43,38
"APT","ICX",0.43,39
"APT","BORA",0.426,40
"APT","CHZ",-0.424,41
"APT","ARK",0.419,42
"APT","THETA",0.415,43
"APT","KNC",0.39,44
"APT","FLOW",0.383,45
"APT","BTG",0.38,46
"APT","LOOM",0.367,47
"APT","BSV",-0.363,48
"APT","IMX",-0.36,49
"APT","KAVA",0.358,50
"APT","ALGO",0.355,51
